Quantity,Designator,PackageReference,Value,Manufacturer,PartNumber,Supplier1,Supplier1PartNumber,Supplier1Link

"2","C3, C4","0805","1uF 10% 10V","","","","",""
"5","C5, C6, C8, C10, C11","0603","100nF 10% 16V","","","","",""
"2","C7, C9","0603","100nF 10% 50V","","","","",""
"1","C12","0603","10nF 10% 16V","","","","",""
"4","J1, J2, J3, U1","[NoParam], DCK5","","[NoParam], Texas Instruments","[NoParam], TLV70033DCKR","","",""
"1","L1","0603","742861210","","XXX","","",""
"1","Q1","SOT363-6","BFU520Y","","","","",""
"2","R1, R2","0603","100R 1% 0.1W","","","","",""
"2","R3, R8","0603","1k 1% 0.1W","","","","",""
"1","R4","0603","49R9 1% 0.1W","","","","",""
"1","R5","0603","10k 1% 0.1W","","","","",""
"1","R6","0603","750R 1% 0.1W","","","","",""
"1","R7","0603","200R 1% 0.1W","","","","",""
"1","SiPM1","","PM3375T","","","","",""
"1","U2","SC70","LM94021","Texas Instruments","LM94021BIMG","","",""
